DATE,INDEXPORTQDSMEI
1996-04-01,362009182546.837
1996-07-01,361455141590.351
1996-10-01,362368524887.456
1997-01-01,373417767669.29596
1997-04-01,406519905904.666
1997-07-01,404048463936.009
1997-10-01,432153010363.806
1998-01-01,421502294360.23804
1998-04-01,456150619008.43896
1998-07-01,511386614687.836
1998-10-01,479748999028.191
1999-01-01,519949414499.37506
1999-04-01,517146799353.25793
1999-07-01,575533658064.2699
1999-10-01,587490199625.733
2000-01-01,613609526128.435
2000-04-01,636182240892.718
2000-07-01,689869741127.261
2000-10-01,745504287460.006
2001-01-01,730259313477.011
2001-04-01,746420414375.9401
2001-07-01,709223577305.0399
2001-10-01,724754544462.642
2002-01-01,748650040419.7
2002-04-01,871241942115.568
2002-07-01,896363656978.659
2002-10-01,904975970471.714
2003-01-01,909233714711.589
2003-04-01,927456017004.177
2003-07-01,995581030147.326
2003-10-01,1094726381483.25
2004-01-01,1187312194933.89
2004-04-01,1278071028643.99
2004-07-01,1331153833414.2002
2004-10-01,1475768996828.5598
2005-01-01,1655370552598.5999
2005-04-01,1629273902393.46
2005-07-01,1665051593987.65
2005-10-01,1875751028386.76
2006-01-01,2013179233822.05
2006-04-01,2164555058382.7598
2006-07-01,2342479692673.3003
2006-10-01,2222297673434.13
2007-01-01,2398663178275.75
2007-04-01,2383807302402.13
2007-07-01,2466011291905.25
2007-10-01,2655903961297.7397
2008-01-01,2772613624127.97
2008-04-01,3487212662353.96
2008-07-01,3661437485295.4204
2008-10-01,3275979610494.0303
2009-01-01,2979433001130.04
2009-04-01,3093099322295.3296
2009-07-01,3185461860532.19
2009-10-01,3322645623669.57
2010-01-01,3500378974652.4497
2010-04-01,3859736192008.99
2010-07-01,3994752383662.77
2010-10-01,4528475575886.74
2011-01-01,4868795416514.22
2011-04-01,5070229027469.85
2011-07-01,5163345906033.57
2011-10-01,5572098103297.79
2012-01-01,5633636964198.79
2012-04-01,5678642400918.46
2012-07-01,7071585736311.39
2012-10-01,5652234455233.67
2013-01-01,5994607407536.49
2013-04-01,6289273649930.811
2013-07-01,7587920803041.7705
2013-10-01,7269679891517.989
2014-01-01,7420938657509.431
2014-04-01,7208529722684.29
2014-07-01,7341718508569.72
2014-10-01,7301215642722.78
2015-01-01,6784898909023.21
2015-04-01,6835726096170.689
2015-07-01,6924152150750.23
2015-10-01,6749967941269.33
2016-01-01,6776628032809.74
2016-04-01,7172339936684.85
2016-07-01,7267173033547.3
2016-10-01,7405235745377.391
2017-01-01,7642972349390.45
2017-04-01,7715608251298.36
2017-07-01,7914600561616.61
2017-10-01,8130470145663.13
2018-01-01,8354526755421.9
2018-04-01,8855614154156.61
2018-07-01,9335056763550.791
2018-10-01,9771248966500.74
2019-01-01,9701015448791.861
2019-04-01,9449571535674.3
2019-07-01,9359828318693.84
2019-10-01,9583255757126.91
2020-01-01,9129222633504.951
2020-04-01,7597429937345.569
2020-07-01,9395474399509.44
2020-10-01,9591032658556.2
2021-01-01,10508432062588.799
2021-04-01,11349854837527.0
2021-07-01,12327838106244.3
2021-10-01,13081789281096.6
2022-01-01,13736964505132.1
2022-04-01,15354034141479.9
2022-07-01,15336883229337.2
2022-10-01,15429000224894.5
2023-01-01,15953171814288.5
2023-04-01,15286976335404.898
